NUM_ID,NAME,CATEGORY_ID
561,BCCMO,1
261,INWARD CLEARING,1
262,AUDIT ENQUIRY CHARGES,1
263,INBOUND AND OUTBOUND CORRESPONDENCE,1
264,CASH AND TELLER,1
265,RECONCILIATION,1
266,CARD DISTRIBUTION,1
267,PAYDIRECT  WHERE BANK IS COLLECTING BANK,1
268,POS ACQUIRED,1
269,VISACARD,1
270,COLLATERAL RELEASE,1
271,"MOBILITY REPORT  ATM TRANSFER, QUICKTELLER AND OTHER TRANSFER ON ALL CHANNELS",1
272,INSTANT ALERT/NOTIFICATION ON NGN00023437055 (LONG OUTSTANDING ACCOUNT) ENTRIES,1
273,CUSTOMER SERVICES : MODIFICATIONS OF CUSTOMERS PHONE NUMBER AND EMAIL ADDRESSES IN CORE BANKING AND SMS PORTAL. ,1
274,DESK SWEEP AND ENVIRONMENTAL/ SECURITY SCANNING ,1
275,SAFE KEEPING ITEMS,1
276,DESK SWEEP AND ENVIRONMENTAL SCANNING,1
277,IMTO,1
278,BRANCH ADMINISTRATION,1
279,CASH WITHDRAWAL LOCAL CURRENCY,1
280,CHEQUE PAYMENT,1
281,EMAIL INDEMNITY,1
282,"AMBIENCE(FUNCTIONAL TOILET,CLEAN FLAGS ETC)",1
283,BRANCH CLOSING TIME,1
284,PAYROLL MANAGEMENT - EX-STAFF BENEFITS AND INDEBTEDNESS.,1
285,EVACUATION AND REPLENISHMENT OF CASH (BRANCHES/HEAD OFFICE),1
286,MICR,1
287,INTERBANK TRADING OF CURRENCIES,1
288,ACQUIRER CHARGEBACK (ATM),1
289,MANAGE CUSTOMER COMPLAINT DASHBOARD,1
290,ACQUIRER CHARGEBACK,1
291,POS ISSUER SETTLEMENT,1
292,PAYDIRECT  WHERE BANK IS LEAD BANK,1
293,PAYGATE/WEB ACQUIRED,1
294,MASTERCARD,1
295,INWARD NEFT,1
296,RETURNED OUTWARD CHEQUES,1
297,KYC/CDD/EDD ,1
298,DOCUMENT STORAGE,1
299,PROCESSED NIBBS/NEFT TRANSACTIONS ,1
300,"CONFIRMATION OF INVOICES, POS, DOMICILIATIONS. ",1
301,ATM OVERAGE ,1
302,LETTER WITHDRAWAL,1
303,PROMISSORY NOTE TRADING,1
304,REAL TIME GROSS SETTLEMENT (RTGS) [INWARD],1
305,DOMICILIARY OUTFLOW PROCESSING,1
306,TREASURY BILLS TRADING,1
307,ISSUANCE OF MANAGERS CHEQUE [MC],1
308,TRADING AND BANKING BOOKS REPORT,1
309,LEGAL DOCUMENTATION,1
310,DEPOSIT INVESTMENT [FCY],1
311,ACCOUNT OPENING DOCUMENTATION,1
312,RECRUITMENT,1
313,FIRS VAT ENFORCEMENT,1
314,ENSURE RECORD COMPLETENESS FOR ALL COMPLAINT LODGED,1
315,ANALYSE COMPLAINTS TO PROVIDE INSIGHT TO MANAGEMENT,1
316,GENERAL LEDGER MANAGEMENT,1
317,POS/WEB TERMINALS  ACTIVE OR INACTIVE,1
