id,country_id/id,name,code
state_ng_1,base.ng,Jigawa,JIGAWA
state_ng_2,base.ng,Kaduna,KADUNA
state_ng_3,base.ng,Kano,KANO
state_ng_4,base.ng,Katsina,KATSINA
state_ng_5,base.ng,Kebbi,KEBBI
state_ng_6,base.ng,Sokoto,SOKOTO
state_ng_7,base.ng,Zamfara,ZAMFARA
state_ng_8,base.ng,Adamawa,ADAMAWA
state_ng_9,base.ng,Bauchi,BAUCHI
state_ng_10,base.ng,Borno,BORNO
state_ng_11,base.ng,Gombe,GOMBE
state_ng_12,base.ng,Taraba,TARABA
state_ng_13,base.ng,Yobe,YOBE
state_ng_14,base.ng,Benue,BENUE
state_ng_15,base.ng,Kogi,KOGI
state_ng_16,base.ng,Kwara,KWARA
state_ng_17,base.ng,Nasarawa,NASARAWA
state_ng_18,base.ng,Niger,NIGER
state_ng_19,base.ng,Plateau,PLATEAU
state_ng_20,base.ng,Fct,FCT
state_ng_21,base.ng,Ekiti,EKITI
state_ng_22,base.ng,Lagos,LAGOS
state_ng_23,base.ng,Ogun,OGUN
state_ng_24,base.ng,Ondo,ONDO
state_ng_25,base.ng,Osun,OSUN
state_ng_26,base.ng,Oyo,OYO
state_ng_27,base.ng,Abia,ABIA
state_ng_28,base.ng,Anambra,ANAMBRA
state_ng_29,base.ng,Ebonyi,EBONYI
state_ng_30,base.ng,Enugu,ENUGU
state_ng_31,base.ng,Imo,IMO
state_ng_32,base.ng,Akwa Ibom,AKWA_IBOM
state_ng_33,base.ng,Bayelsa,BAYELSA
state_ng_34,base.ng,Cross River,CROSS_RIVER
state_ng_35,base.ng,Delta,DELTA
state_ng_36,base.ng,Edo,EDO
state_ng_37,base.ng,Rivers,RIVERS
