id,name,code
region_abia,Abia,abia
region_adamawa,Adamawa,adamawa
region_akwa_ibom,Akwa Ibom,akwa_ibom
region_anambra,Anambra,anambra
region_bauchi,Bauchi,bauchi
region_bayelsa,Bayelsa,bayelsa
region_benue,Benue,benue
region_borno,Borno,borno
region_cross_river,Cross River,cross_river
region_delta,Delta,delta
region_edo,Edo,edo
region_Ebonyi,Ebonyi,Ebonyi
region_ekiti,Ekiti,ekiti
region_enugu,Enugu,enugu
region_gombe,Gombe,gombe
region_imo,Imo,imo
region_jigawa,Jigawa,jigawa
region_kaduna,Kaduna,kaduna
region_kano,Kano,kano
region_katsina,Katsina,katsina
region_kebbi,Kebbi,kebbi
region_kogi,Kogi,kogi
region_kwara,Kwara,kwara
region_lagos,Lagos,lagos
region_niger,Niger,niger
region_ogun,Ogun,ogun
region_ondo,Ondo,ondo
region_osun,Osun,osun
region_oyo,Oyo,oyo
region_plateau,Plateau,plateau
region_rivers,Rivers,rivers
region_sokoto,Sokoto,sokoto
region_taraba,Taraba,taraba
region_zamfara,Zamfara,zamfara
region_fct,Abuja,abuja
region_nassarawa,Nassarawa,Nassarawa
