id,name,code
industry_clients_executorships,Clients & Executorships,04814
industry_trustees_fiduciary_accounts,Trustees & Fiduciary Accounts,04816
industry_logistics,Logistics,04817
industry_embassy_high_commission,Embassy/High Commission,04819
industry_supermarket,Supermarket,04820
industry_restaurant,Restaurant,04821
industry_retail_computers_software,Retail sale of computers, software,04822
industry_telemarketing,Telemarketing,04823
industry_clearing_forwarding,Clearing and Forwarding,04824
industry_estate_deceased_individuals,Estate (Deceased Individuals),04825
industry_automotive_parts,Automotive Parts,04901
industry_domestic_trade,Domestic trade,04902
industry_jewelry_dealer,Jewelry Dealer,04903
industry_precious_metal_dealer,Precious Metal Dealer,04904
industry_automobile_motor_vehicles,"Automobile ,Motor Vehicles",04905
industry_food_processing,Food Processing,04906
industry_chemicals_allied_products,Chemicals and Allied Products,04907
industry_trading_rice,"Trading ,Rice",04908
industry_trading_cocoa,"Trading ,Cocoa",04909
industry_generator_sales_services,"Generator set, sales and services",04910
industry_groundnuts_groundnut_oil,Groundnuts and Groundnut oil,04911
industry_palm_produce,Palm Produce,04912
industry_cotton,Cotton,04913
industry_hides_skins,Hides and Skins,04914
industry_rubber_rubber_products,Rubber and Rubber Products,04915
industry_timber_timber_products,Timber and Timber Products,04916
industry_other_agricultural_exports,Other Agricultural Exports,04917
industry_non_agricultural_exports,Non Agricultural Exports,04918
industry_imports,Imports,04919
industry_retail_merchant,Retail Merchant,04921
industry_export,Export,04922
industry_car_boat_plane_dealership,Car/Boat/Plane Dealership,04923
industry_wholesalers_consumer_electronics,Wholesalers of Consumer Electronics,04924
industry_luxury_goods,Luxury Goods,04925
industry_federal_direct,"Federal, Direct",05001
industry_federal_mdas,"Federal, MDAs",05002
industry_state_direct,"State, Direct",05003
industry_state_mdas,"State, MDAs",05004
industry_local_direct,"Local, Direct",05005
industry_local_mdas,"Local, MDAs",05006
industry_human_health_activities,Human health activities,05101
industry_residential_care_activities,Residential care activities,05102
industry_social_work_without_accommodation,Social Work without Accommodation,05103
industry_domestic_care_services,Domestic Care Services,05104
industry_publishing_activities,Publishing activities,05201
industry_video_television_programme_production,Video n televisn programe productn,05202
industry_programming_broadcasting_act,Programming and broadcasting act,05203
industry_telecommunications,Telecommunications,05204
industry_programming_consult_related_act,"programing, consult n related act",05205
industry_information_service_activities,Information service activities,05206
industry_printing_publishing,Printing and Publishing,05207
industry_flourmills_bakeries,Flourmills and Bakeries,05301
industry_food_manufacturing,Food manufacturing,05302
industry_beverages,Beverages,05303
industry_aluminium_allied_products,Aluminium and allied products,05304
industry_basic_metal_products,Basic Metal Products,05305
industry_breweries,Breweries,05306
industry_building_materials,Building materials,05307
industry_cement,Cement,05308
industry_chemicals_allied_products_5309,Chemicals and Allied products,05309
industry_footwear,Footwear,05310
industry_hides_skin,Hides and Skin,05311
industry_household_equipment,Household Equipment,05312
industry_pharmaceuticals,Pharmaceuticals,05313
industry_paints_allied_products,Paints and Allied products,05314
industry_miscellaneous_manufacturing,Miscellaneous Manufacturing,05315
industry_paper_paper_products,Paper and Paper products,05316
industry_printing_publishing_5317,Printing and Publishing,05317
industry_personal_care,Personal care,05318
industry_plastics,Plastics,05319
